tbl,year,qtr,month,region_name,total_acq,total_approved,eqpt_acq_over_approved,eqpt_total_records,ave_eqpt_acq_rate
ByMo,2019,3,9,CALABARZON,3544250.000,3731250.000,8.9373954,9,0.99
ByMo,2019,4,10,CALABARZON,1935241.510,2055641.510,1.6532258,2,0.83
ByMo,2019,4,11,CALABARZON,1946394.000,1939057.000,25.0218500,25,1.00
ByMo,2019,4,12,CALABARZON,1914600.000,1914600.000,4.0000000,4,1.00
ByMo,2020,1,1,CALABARZON,9379950.000,9379950.000,7.0000000,7,1.00
ByMo,2020,1,2,CALABARZON,4517307.760,4517487.780,16.9965949,17,1.00
ByMo,2020,1,3,CALABARZON,2616445.000,4201450.000,5.0508585,6,0.84
ByMo,2020,2,6,CALABARZON,8599131.550,8599131.550,8.0000000,8,1.00
ByMo,2020,3,7,CALABARZON,3876170.000,3865042.000,8.9957949,9,1.00
ByMo,2020,3,8,CALABARZON,694940.000,134940.000,1.0000000,2,0.50
ByMo,2020,3,9,CALABARZON,343800.000,343800.000,3.0000000,3,1.00
ByMo,2020,4,10,CALABARZON,2303900.000,2316300.000,8.1954005,7,1.17
ByMo,2020,4,11,CALABARZON,3675500.000,3675500.000,4.0000000,4,1.00
ByMo,2020,4,12,CALABARZON,4235941.000,4210366.000,23.6380247,19,1.24
ByMo,2021,1,1,CALABARZON,21581.000,5.000,21581.0000000,5,4316.20
ByMo,2021,1,2,CALABARZON,473760.000,502000.000,1.8775843,2,0.94
ByMo,2021,1,3,CALABARZON,9917350.740,2069085.140,16.7035225,8,2.09
ByMo,2021,2,4,CALABARZON,258028.750,253668.750,7.1526335,8,0.89
ByMo,2021,2,6,CALABARZON,694494.740,702494.740,2.9831933,3,0.99
ByMo,2021,3,7,CALABARZON,53900.000,20000.000,2.6950000,1,2.70
