tbl,year,qtr,month,region_name,total_eqpt,avg_eqpt_budget
ByMonth,2014,2,6,CALABARZON,1,45000.00
ByMonth,2014,3,7,CALABARZON,8,825700.00
ByMonth,2014,3,8,CALABARZON,5,579000.00
ByMonth,2014,3,9,CALABARZON,3,113535.33
ByMonth,2014,4,11,CALABARZON,2,532500.00
ByMonth,2014,4,12,CALABARZON,10,13036.00
ByMonth,2015,1,1,CALABARZON,8,187942.50
ByMonth,2015,1,2,CALABARZON,6,197633.33
ByMonth,2015,1,3,CALABARZON,11,52439.55
ByMonth,2015,2,4,CALABARZON,7,492071.43
ByMonth,2015,2,5,CALABARZON,3,270273.33
ByMonth,2015,2,6,CALABARZON,9,430181.11
ByMonth,2015,3,7,CALABARZON,5,785760.00
ByMonth,2015,3,8,CALABARZON,6,534262.13
ByMonth,2015,3,9,CALABARZON,5,134256.00
ByMonth,2015,4,10,CALABARZON,3,65000.00
ByMonth,2015,4,11,CALABARZON,9,559877.78
ByMonth,2015,4,12,CALABARZON,17,161468.24
ByMonth,2016,1,1,CALABARZON,1,45000.00
ByMonth,2016,1,2,CALABARZON,7,439714.29
ByMonth,2016,1,3,CALABARZON,11,2133407.27
ByMonth,2016,2,4,CALABARZON,7,89757.14
ByMonth,2016,2,5,CALABARZON,18,85901.03
ByMonth,2016,2,6,CALABARZON,4,194600.00
ByMonth,2016,3,7,CALABARZON,22,170122.27
ByMonth,2016,3,8,CALABARZON,4,327350.00
ByMonth,2016,3,9,CALABARZON,7,540418.85
ByMonth,2016,4,10,CALABARZON,14,492995.71
ByMonth,2016,4,11,CALABARZON,18,74179.78
ByMonth,2016,4,12,CALABARZON,8,188986.14
ByMonth,2017,1,1,CALABARZON,8,1184268.75
ByMonth,2017,1,2,CALABARZON,19,432954.53
ByMonth,2017,1,3,CALABARZON,19,187880.43
ByMonth,2017,2,4,CALABARZON,13,205274.85
ByMonth,2017,2,5,CALABARZON,40,401489.88
ByMonth,2017,2,6,CALABARZON,29,154288.10
ByMonth,2017,3,7,CALABARZON,7,453714.29
ByMonth,2017,3,8,CALABARZON,37,469116.22
ByMonth,2017,3,9,CALABARZON,8,429187.50
ByMonth,2017,4,10,CALABARZON,7,463000.00
ByMonth,2017,4,11,CALABARZON,18,645233.33
ByMonth,2017,4,12,CALABARZON,10,797056.84
ByMonth,2018,1,1,CALABARZON,12,359984.75
ByMonth,2018,1,2,CALABARZON,16,584394.27
ByMonth,2018,1,3,CALABARZON,24,216969.59
ByMonth,2018,2,4,CALABARZON,14,144271.67
ByMonth,2018,2,5,CALABARZON,8,588.63
ByMonth,2018,2,6,CALABARZON,8,270218.75
ByMonth,2018,3,7,CALABARZON,5,1502600.00
ByMonth,2018,3,8,CALABARZON,16,93084.62
ByMonth,2018,3,9,CALABARZON,22,102765.00
ByMonth,2018,4,10,CALABARZON,8,1103772.38
ByMonth,2018,4,11,CALABARZON,7,533782.54
ByMonth,2018,4,12,CALABARZON,2,1861434.38
ByMonth,2019,1,1,CALABARZON,12,81930.83
ByMonth,2019,1,2,CALABARZON,13,326687.34
ByMonth,2019,1,3,CALABARZON,13,205233.96
ByMonth,2019,2,4,CALABARZON,11,1496790.09
ByMonth,2019,2,5,CALABARZON,14,137376.43
ByMonth,2019,2,6,CALABARZON,11,141771.81
ByMonth,2019,3,7,CALABARZON,6,1406483.33
ByMonth,2019,3,8,CALABARZON,3,163333.33
ByMonth,2019,3,9,CALABARZON,9,414583.33
ByMonth,2019,4,10,CALABARZON,2,1027820.76
ByMonth,2019,4,11,CALABARZON,25,77562.28
ByMonth,2019,4,12,CALABARZON,4,478650.00
ByMonth,2020,1,1,CALABARZON,7,1339992.86
ByMonth,2020,1,2,CALABARZON,17,265734.58
ByMonth,2020,1,3,CALABARZON,6,700241.67
ByMonth,2020,2,6,CALABARZON,8,1074891.44
ByMonth,2020,3,7,CALABARZON,9,429449.11
ByMonth,2020,3,8,CALABARZON,2,67470.00
ByMonth,2020,3,9,CALABARZON,3,114600.00
ByMonth,2020,4,10,CALABARZON,7,330900.00
ByMonth,2020,4,11,CALABARZON,4,918875.00
ByMonth,2020,4,12,CALABARZON,19,221598.21
ByMonth,2021,1,1,CALABARZON,5,1.00
ByMonth,2021,1,2,CALABARZON,2,251000.00
ByMonth,2021,1,3,CALABARZON,8,258635.64
ByMonth,2021,2,4,CALABARZON,8,31708.59
ByMonth,2021,2,6,CALABARZON,3,234164.91
ByMonth,2021,3,7,CALABARZON,1,20000.00
