tbl,year,qtr,month,region_name,total_eqpt,total_eqpt_budget
ByMonth,2014,2,4,CALABARZON,4,2426000.00
ByMonth,2014,2,5,CALABARZON,16,3349500.00
ByMonth,2014,2,6,CALABARZON,1,45000.00
ByMonth,2014,3,7,CALABARZON,8,6605600.00
ByMonth,2014,3,8,CALABARZON,5,2895000.00
ByMonth,2014,3,9,CALABARZON,3,340606.00
ByMonth,2014,4,11,CALABARZON,2,1065000.00
ByMonth,2014,4,12,CALABARZON,10,130360.00
ByMonth,2015,1,1,CALABARZON,8,1503540.00
ByMonth,2015,1,2,CALABARZON,6,1185800.00
ByMonth,2015,1,3,CALABARZON,11,576835.00
ByMonth,2015,2,4,CALABARZON,7,3444500.00
ByMonth,2015,2,5,CALABARZON,3,810820.00
ByMonth,2015,2,6,CALABARZON,9,3871630.00
ByMonth,2015,3,7,CALABARZON,5,3928800.00
ByMonth,2015,3,8,CALABARZON,6,3205572.77
ByMonth,2015,3,9,CALABARZON,5,671280.00
ByMonth,2015,4,10,CALABARZON,3,195000.00
ByMonth,2015,4,11,CALABARZON,9,5038900.00
ByMonth,2015,4,12,CALABARZON,17,2744960.00
ByMonth,2016,1,1,CALABARZON,1,45000.00
ByMonth,2016,1,2,CALABARZON,7,3078000.00
ByMonth,2016,1,3,CALABARZON,11,23467480.00
ByMonth,2016,2,4,CALABARZON,7,628300.00
ByMonth,2016,2,5,CALABARZON,18,1546218.56
ByMonth,2016,2,6,CALABARZON,4,778400.00
ByMonth,2016,3,7,CALABARZON,22,3742690.00
ByMonth,2016,3,8,CALABARZON,4,1309400.00
ByMonth,2016,3,9,CALABARZON,7,3782931.92
ByMonth,2016,4,10,CALABARZON,14,6901940.00
ByMonth,2016,4,11,CALABARZON,18,1335236.00
ByMonth,2016,4,12,CALABARZON,8,1511889.12
ByMonth,2017,1,1,CALABARZON,8,9474150.00
ByMonth,2017,1,2,CALABARZON,19,8226136.00
ByMonth,2017,1,3,CALABARZON,19,3569728.14
ByMonth,2017,2,4,CALABARZON,13,2668573.00
ByMonth,2017,2,5,CALABARZON,40,16059595.00
ByMonth,2017,2,6,CALABARZON,29,4474355.00
ByMonth,2017,3,7,CALABARZON,7,3176000.00
ByMonth,2017,3,8,CALABARZON,37,17357300.00
